,ngram,freq
288,https www,268
287,human right,256
286,doi org,214
285,http doi,211
284,secur privaci,71
283,right impact,64
277,download januari,60
271,author licens,60
273,limit universiteit,60
274,universiteit van,60
275,van amsterdam,60
276,amsterdam download,60
272,licens limit,60
278,januari utc,60
279,utc ieee,60
280,ieee xplore,60
281,xplore restrict,60
282,restrict appli,60
270,suppli chain,54
269,base station,54
268,mobil oper,52
267,mobil network,50
266,network slice,46
264,right risk,44
265,ericsson respons,44
263,intern affair,43
262,impact area,42
261,institut intern,41
260,swedish institut,41
259,nation secur,40
258,network secur,40
257,action ericsson,39
256,cyber secur,39
255,prevent mitig,38
254,http www,37
253,end user,37
252,impact ericsson,36
251,ban huawei,32
250,novemb https,31
249,fog comput,30
248,public key,29
247,network comput,29
246,core network,29
245,subscript privaci,28
244,ericsson involv,28
243,comput applic,28
242,journal network,28
241,proc ieee,28
240,tutori vol,28
239,surv tutor,28
233,communic network,27
235,decemb https,27
234,due dilig,27
236,appli tutori,27
238,ferraget journal,27
237,vol firstquart,27
232,ieee http,26
231,khanet gtechnolog,26
230,appli khanet,26
229,servic provid,26
228,access control,26
227,fals base,25
226,gpp org,25
225,chines compani,25
222,onlin https,24
220,reuter articl,24
221,mitig risk,24
218,veh technol,24
223,ieeeaccess vol,24
224,salient human,24
219,huawei technolog,24
216,ieeetran inf,23
215,european union,23
217,inform secur,23
213,potenti impact,22
212,guid principl,22
211,www reuter,22
214,mitig impact,22
210,www gpp,21
209,addit action,21
208,ericsson take,21
207,product servic,21
206,ieeetran veh,21
205,articl huawei,21
204,ieee commun,21
198,network function,20
201,journal inform,20
199,commun netw,20
200,februari https,20
202,involv impact,20
203,privat network,20
197,secur applic,19
196,ericsson prevent,19
195,take addit,19
194,impact sever,19
193,long term,19
192,commun http,19
191,vol mar,19
190,march https,19
189,council european,19
188,secur concern,19
187,internet thing,19
177,secur risk,18
178,chines technolog,18
180,technol vol,18
176,person data,18
175,comput network,18
179,vol oct,18
183,busi relationship,18
181,tutor http,18
182,netw http,18
184,sever ericsson,18
185,khan martin,18
186,supra note,18
171,ieeecommun mag,17
167,coen porisini,17
168,www bloomberg,17
169,china huawei,17
170,risk relat,17
172,sensit busi,17
173,ict industri,17
174,risk area,17
160,right issu,16
155,fog nod,16
154,wireless communic,16
156,mobil communic,16
157,previous generat,16
158,wide rang,16
159,ieeecommun surv,16
165,martin journal,16
161,extern stakehold,16
162,health safeti,16
163,radio wave,16
164,mobil telephoni,16
166,request messag,16
150,affect stakehold,15
147,jan peter,15
148,huawei cyber,15
149,identifi impact,15
145,comput appl,15
151,potenti affect,15
152,gpp version,15
153,availableat https,15
146,critic infrastructur,15
144,netw comput,15
142,polici enforc,15
141,key manag,15
143,intrus detect,15
128,tech giant,14
133,articl usa,14
125,low latenc,14
126,access network,14
127,data protect,14
129,risk assess,14
130,intern law,14
131,oversight board,14
132,januari https,14
134,tabl gand,14
135,org comst,14
136,respect human,14
137,civil societi,14
138,network segment,14
139,right abus,14
140,version releas,14
108,white hous,13
107,juli https,13
106,market share,13
105,chines tech,13
104,sdn nfv,13
103,generat mobil,13
102,comput syst,13
101,net work,13
100,edg comput,13
99,end end,13
98,sicari rizzardi,13
97,end devic,13
110,annual report,13
109,neue verantwortung,13
116,ict ecosystem,13
111,gov govern,13
119,respons action,13
124,org dynareport,13
123,aka protocol,13
112,ieeecommun surveystut,13
121,net neutral,13
120,direct link,13
122,sequenc number,13
118,identifi risk,13
117,freedom express,13
115,comput commun,13
114,vol apr,13
113,surveystut vol,13
88,evalu centr,12
79,privaci issu,12
80,radio access,12
81,privaci preserv,12
83,secur servic,12
84,commun surv,12
85,council conclus,12
86,peter kleinhan,12
87,secur evalu,12
82,iot devic,12
89,octob https,12
94,advers impact,12
90,press releas,12
95,high risk,12
96,dynareport htm,12
93,busi framework,12
92,privaci attack,12
91,syst vol,12
56,chines govern,11
48,intern confer,11
55,mobil phone,11
54,huawei china,11
53,unit kingdom,11
52,member state,11
51,parti state,11
50,secur commun,11
49,comput scienc,11
45,cloud comput,11
47,ieee access,11
46,network oper,11
58,secur threat,11
44,physic layer,11
43,virtual network,11
42,pri vaci,11
41,porisini comput,11
40,rizzardi coen,11
39,network resourc,11
57,ericsson nokia,11
72,multi stakehold,11
59,law enforc,11
69,grievanc mechan,11
60,rare earth,11
78,releas http,11
77,ericsson process,11
76,critic network,11
75,impact result,11
73,societi organ,11
71,risk potenti,11
70,impact connect,11
74,contribut impact,11
68,societ impact,11
64,inf vol,11
67,ericsson busi,11
62,mag vol,11
63,thint conf,11
61,vol jan,11
65,speci calli,11
66,syst http,11
10,board annual,10
18,vol sep,10
17,comput netw,10
16,vol jun,10
15,digit divid,10
14,negat impact,10
13,bloomberg news,10
12,stiftung neue,10
11,berlin stiftung,10
20,vol aug,10
9,june https,10
8,white paper,10
7,joint declar,10
6,huawei chines,10
5,bbc news,10
4,huawei equip,10
3,network ieee,10
2,base authent,10
19,ieee thint,10
1,detail analysi,10
21,comput stand,10
31,person inform,10
38,protect scheme,10
37,guti realloc,10
36,imsi probe,10
35,failur messag,10
34,temporari identi,10
33,data loss,10
32,increas risk,10
30,network vendor,10
22,stand interfac,10
29,relat impact,10
28,address risk,10
27,right due,10
26,respons sourc,10
25,broader societ,10
24,org csi,10
23,interfac http,10
0,network architectur,10
