,ngram,freq
284,secur privaci,71
282,restrict appli,60
269,base station,54
268,mobil oper,52
267,mobil network,50
266,network slice,46
259,nation secur,40
258,network secur,40
256,cyber secur,39
255,prevent mitig,38
249,fog comput,30
248,public key,29
246,core network,29
245,subscript privaci,28
233,communic network,27
228,access control,26
227,fals base,25
221,mitig risk,24
224,salient human,24
217,inform secur,23
214,mitig impact,22
209,addit action,21
197,secur applic,19
188,secur concern,19
177,secur risk,18
176,person data,18
155,fog nod,16
146,critic infrastructur,15
142,polici enforc,15
143,intrus detect,15
126,access network,14
127,data protect,14
129,risk assess,14
130,intern law,14
138,network segment,14
139,right abus,14
100,edg comput,13
99,end end,13
116,ict ecosystem,13
119,respons action,13
122,sequenc number,13
118,identifi risk,13
88,evalu centr,12
79,privaci issu,12
80,radio access,12
81,privaci preserv,12
83,secur servic,12
84,commun surv,12
87,secur evalu,12
95,high risk,12
92,privaci attack,12
48,intern confer,11
50,secur commun,11
45,cloud comput,11
46,network oper,11
58,secur threat,11
44,physic layer,11
43,virtual network,11
39,network resourc,11
59,law enforc,11
69,grievanc mechan,11
60,rare earth,11
76,critic network,11
15,digit divid,10
2,base authent,10
38,protect scheme,10
37,guti realloc,10
34,temporari identi,10
33,data loss,10
32,increas risk,10
22,stand interfac,10
