Date: 01/04/2022
Note: List of all abbreviation obtained from 3GPP LI standards.
################################################################################
Abbreviation, Concept
3GMS, 3rd Generation Mobile Communications System
3G MSC, 3rd Generation Mobile Switching Centre
3G UMSC, 3rd Generation Unified Mobile Switching Centre
AAA, Authentication Authorization and Accounting
AC, Alarm Call
ADMF, Administration Function
ADSL, Asynchronous Digital Subscriber Line
AF, Authentication Framework
AGW, Access Gateway
AMQP, Advanced Message Queuing Protocol
AN, Access Network
ANDSF, Access Network Discovery and Selection Function
AP, Access Provider
API, Application Program Interface
AS, Application Server
A-SBC, Access Session Border Controller
ASN, Abstract Syntax Notation
ATCF, Access Transfer Control Function
ATGW, Access Transfer Gateway
BBIFF, Bearer Binding Intercept and Forwarding Function
BER, Basic Encoding Rules
BM-SC, Broadcast-Multicast Service Centre
BSF, Bootstrapping Serving Function
B-TID, Bootstrapping Transaction Identifier
CA, Certificate Authority
CC, Content of Communication
CCIF, Content of Communication Interception Function
CC IIF, Content of Communication Internal Interception Function
CCLID, CC Link IDentifier
CID, Communication IDentifier
CII, Communication Identifying Information
CIN, Communication Identity Number
CITS, Cooperative Intelligent Transport Systems
CLIF, Cloud Lawful Interception Function
CLIP, Calling Line Identification Presentation
CLIR, Calling Line Identification Restriction
COL, COnnected Line identity
COLP, COnnected Line identification Presentation
COLR, COnnected Line identification Restriction
COTS, Commercial Off The Shelf
CS, Circuit Switched
CSCF, Call Session Control Function
CSG, Closed Subscriber Group
CSP, Communications Service Provider
CSPRNG, Cryptographically Secure Pseudo-Random Number Generator
CUPS, Control and User Plane Separation of EPC nodes
DASH, Dynamic Adaptive Streaming over HTTP
DDOS, Distributed Denial Of Service
DER, Distinguished Encoding Rules
DF, Delivery Function
DMA, Direct Memory Access
DPI, Deep Packet Inspection
DSMIP, Dual Stack Mobile IP
e-Codex, e-justice Communication via online data exchange
E2E, End-to-End
ECT, Explicit Call Transfer
EID, Error Insertion Device
EIO, European Investigation Order
EJO, European Judicial Network
EPC, Evolved Packet Core
EPOC, European Production Order Certificate
EPOC-PR, European Preservation Order Certificate
ePDG, Evolved PDG
EPS, Evolved Packet System
ESSID, Extended Service Set IDentifier
E-UTRAN, Evolved UTRAN
EVCP, Extended Validation Certificates Policy
FB, FallBack procedure
