term,n_T,n_ST,p_T,p_ST,ll,category
nregards nalex,3000,64900,6.382978723404255,23.42960288808664,-1305.649101244313,S\T
message----- nfrom,400,30999,0.851063829787234,11.191335740072201,-1312.516521317519,S\T
n-----original message-----,400,29400,0.851063829787234,10.613718411552346,-1315.0264424670888,S\T
gpp sa,0,18300,0.0,6.606498194945848,-1321.2442537700479,S\T
etsi fr,200,17800,0.425531914893617,6.425992779783393,-1327.9997914329697,S\T
-li meet,200,16600,0.425531914893617,5.992779783393502,-1329.7839537478417,S\T
ftp gpp,0,12700,0.0,4.584837545126354,-1330.1542685730317,S\T
org tsg,0,11500,0.0,4.1516245487364625,-1332.019298972194,S\T
li meet,899,23000,1.9148936170212765,8.303249097472925,-1333.13670408732,S\T
nbrye bonner,100,12399,0.2127659574468085,4.4765342960288805,-1333.5665775963446,S\T
nbest nbernhard,0,10400,0.0,3.7545126353790614,-1333.7123389392023,S\T
sa -li,4200,51800,8.936170212765958,18.700361010830324,-1333.7742805161024,S\T
competence centre,0,10200,0.0,3.68231046931408,-1334.018314136204,S\T
nschaumburg il,100,11699,0.2127659574468085,4.223826714801444,-1334.5947041578236,S\T
algonquin nschaumburg,100,11699,0.2127659574468085,4.223826714801444,-1334.5947041578236,S\T
mailto rryan,0,9800,0.0,3.537906137184116,-1334.6284437835923,S\T
nbrye nbrye,100,11600,0.2127659574468085,4.187725631768953,-1334.7408008955808,S\T
ron ryan,200,13000,0.425531914893617,4.693140794223827,-1334.9835453674923,S\T
find attach,1699,29300,3.6170212765957444,10.577617328519857,-1335.1125830103704,S\T
il ntel,100,11299,0.2127659574468085,4.0794223826714795,-1335.1778719536449,S\T
ryan mailto,0,9300,0.0,3.3574007220216604,-1335.387531030734,S\T
nthanks nron,0,9100,0.0,3.2851985559566788,-1335.6899983826388,S\T
meet week,100,10899,0.2127659574468085,3.9350180505415158,-1335.7576924909215,S\T
nplease find,2100,32100,4.468085106382979,11.588447653429602,-1335.9870558167736,S\T
nmobile competence,0,8500,0.0,3.068592057761733,-1336.5931399475407,S\T
nbest nbrye,0,8500,0.0,3.068592057761733,-1336.5931399475407,S\T
centre mcc,0,8500,0.0,3.068592057761733,-1336.5931399475407,S\T
bonner brye-cdyn,100,10300,0.2127659574468085,3.7184115523465704,-1336.6207530088666,S\T
nron n-----original,0,8400,0.0,3.032490974729242,-1336.7430130192486,S\T
meet report,100,10200,0.2127659574468085,3.68231046931408,-1336.7637781731974,S\T
mcc etsi,0,8099,0.0,2.9241877256317688,-1337.1914553456947,S\T
brye bonner,100,9800,0.2127659574468085,3.537906137184116,-1337.3334136274866,S\T
nftp ftp,0,7900,0.0,2.851985559566787,-1337.489401839768,S\T
friends gpp,0,7900,0.0,2.851985559566787,-1337.489401839768,S\T
bonner motorola,100,9500,0.2127659574468085,3.429602888086643,-1337.7579439876865,S\T
cano etsi,0,7700,0.0,2.779783393501805,-1337.7865018004045,S\T
cano soveri,0,7700,0.0,2.779783393501805,-1337.7865018004045,S\T
mirko cano,0,7700,0.0,2.779783393501805,-1337.7865018004045,S\T
ntel nfax,0,7700,0.0,2.779783393501805,-1337.7865018004045,S\T
etsi nmobile,0,7400,0.0,2.6714801444043323,-1338.230493396464,S\T
soveri nmobile,0,7200,0.0,2.5992779783393503,-1338.525330476794,S\T
nlandline nmailto,0,7200,0.0,2.5992779783393503,-1338.525330476794,S\T
manfred beierer,0,7200,0.0,2.5992779783393503,-1338.525330476794,S\T
nmobile nlandline,0,7200,0.0,2.5992779783393503,-1338.525330476794,S\T
nmailto mirko,0,7200,0.0,2.5992779783393503,-1338.525330476794,S\T
nmirko cano,0,7200,0.0,2.5992779783393503,-1338.525330476794,S\T
brye-cdyn mailto,100,8900,0.2127659574468085,3.2129963898916967,-1338.5995696071498,S\T
mailto brye,100,8900,0.2127659574468085,3.2129963898916967,-1338.5995696071498,S\T
bt nsent,700,16299,1.4893617021276597,5.884476534296028,-1338.6108976142928,S\T
ni forward,0,7100,0.0,2.563176895306859,-1338.6723874085162,S\T
email reflector,0,7000,0.0,2.527075812274368,-1338.8191963890874,S\T
dear colleagues,200,10200,0.425531914893617,3.68231046931408,-1338.8238531779505,S\T
npeter musgrove,200,10200,0.425531914893617,3.68231046931408,-1338.8238531779505,S\T
nas reminder,100,8700,0.2127659574468085,3.140794223826715,-1338.8777668107714,S\T
draft report,0,6900,0.0,2.490974729241877,-1338.9657519830546,S\T
regtp de,0,6900,0.0,2.490974729241877,-1338.9657519830546,S\T
sophia antipolis,0,6900,0.0,2.490974729241877,-1338.9657519830546,S\T
tc li,100,8600,0.2127659574468085,3.104693140794224,-1339.0164018291255,S\T
rryan nortelnetworks,200,10000,0.425531914893617,3.6101083032490973,-1339.0893028481219,S\T
nachricht----- nvon,100,8500,0.2127659574468085,3.068592057761733,-1339.1547200789312,S\T
-----original message-----,100,8400,0.2127659574468085,3.032490974729242,-1339.2927155216457,S\T
fr nsubject,200,9800,0.425531914893617,3.537906137184116,-1339.3533749134015,S\T
xbcngliche nachricht-----,100,8300,0.2127659574468085,2.996389891696751,-1339.4303819041836,S\T
xc xbcngliche,100,8300,0.2127659574468085,2.996389891696751,-1339.4303819041836,S\T
org etsi,0,6500,0.0,2.3465703971119134,-1339.549323216158,S\T
north american,0,6400,0.0,2.3104693140794224,-1339.6945215695616,S\T
nfrom ron,0,6400,0.0,2.3104693140794224,-1339.6945215695616,S\T
peter musgrove,0,6400,0.0,2.3104693140794224,-1339.6945215695616,S\T
leadbeater alex,700,15200,1.4893617021276597,5.487364620938628,-1339.8653893817955,S\T
bonner niden,100,7900,0.2127659574468085,2.851985559566787,-1339.977623671374,S\T
colleagues nplease,100,7900,0.2127659574468085,2.851985559566787,-1339.977623671374,S\T
infrastructure nmotorola,100,7900,0.2127659574468085,2.851985559566787,-1339.977623671374,S\T
niden infrastructure,100,7900,0.2127659574468085,2.851985559566787,-1339.977623671374,S\T
ncel nfax,100,7900,0.2127659574468085,2.851985559566787,-1339.977623671374,S\T
nmotorola il,100,7900,0.2127659574468085,2.851985559566787,-1339.977623671374,S\T
ntel ncel,100,7900,0.2127659574468085,2.851985559566787,-1339.977623671374,S\T
il algonquin,100,7900,0.2127659574468085,2.851985559566787,-1339.977623671374,S\T
leadbeater bt,1900,26200,4.042553191489362,9.458483754512635,-1340.0403066789395,S\T
nmaurice upload,0,6100,0.0,2.2021660649819497,-1340.1283377027642,S\T
draft agenda,299,10400,0.6382978723404255,3.7545126353790614,-1340.2386723420204,S\T
li zip,0,5999,0.0,2.166064981949458,-1340.2723241597696,S\T
giorgi gulbani,0,5999,0.0,2.166064981949458,-1340.2723241597696,S\T
nregards nmirko,0,5999,0.0,2.166064981949458,-1340.2723241597696,S\T
meet gpp,0,5900,0.0,2.1299638989169676,-1340.4159872172138,S\T
li members,200,8800,0.425531914893617,3.1768953068592056,-1340.6513435009322,S\T
meet include,0,5700,0.0,2.0577617328519855,-1340.7023066780653,S\T
email list,100,7300,0.2127659574468085,2.6353790613718413,-1340.787395861233,S\T
sa meet,599,13300,1.276595744680851,4.8014440433212995,-1340.8160642773344,S\T
provide comment,599,13300,1.276595744680851,4.8014440433212995,-1340.8160642773344,S\T
beierer regtp,0,5600,0.0,2.0216606498194944,-1340.8449436629658,S\T
zip file,0,5600,0.0,2.0216606498194944,-1340.8449436629658,S\T
crs sa,100,7200,0.2127659574468085,2.5992779783393503,-1340.9209569050097,S\T
nbest lino,0,5500,0.0,1.9855595667870036,-1340.987218343972,S\T
spalt bernhard,0,5400,0.0,1.9494584837545126,-1341.1291196642048,S\T
portal gpp,0,5400,0.0,1.9494584837545126,-1341.1291196642048,S\T
nfrom alex,400,10800,0.851063829787234,3.898916967509025,-1341.1775445510284,S\T
approve sa,0,5300,0.0,1.9133574007220218,-1341.27063595602,S\T
folks nthe,0,5300,0.0,1.9133574007220218,-1341.27063595602,S\T
nthe meet,0,5300,0.0,1.9133574007220218,-1341.27063595602,S\T
fr subject,0,5300,0.0,1.9133574007220218,-1341.27063595602,S\T
tdoc number,100,6900,0.2127659574468085,2.490974729241877,-1341.3190469720485,S\T
