term,n_T,n_ST,p_T,p_ST,ll,category
distribut cc-tf,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
remain text,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
reliabl simpler,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
liv draft,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
live futur,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
live jg,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
live network,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
relev trigger,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
live nv,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
relev mention,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
relev iri-poi,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
ll collaps,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
context rock,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
relev cc-poi,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
releas sgsn,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
releas send,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
context pdp,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
releas ncollegu,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
context ms,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
releas iri,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
releas freez,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
lmf xe,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
releas consid,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
releas branch,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
lmisf generat,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
load ftp,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
relat tabl,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
relat sms,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
relat pager,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
list tabl,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
remain tp-ud,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
base stephen,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
base iri-poi,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
repeat maintain,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
contribut nthank,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
contribut merg,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
rengasami telcordia,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
lissf creat,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
renam unencapsulatedupfccpdu,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
contribut individu,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
renam add,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
base confer,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
lissf latenc,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
contribut don,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
remov relat,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
list count,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
remov point,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
list maurizio,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
remov jg,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
remov descript,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
remov data,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
remov cheer,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
remov asn,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
continu work,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
base imsi,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
list point,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
list replac,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
list respond,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
rememb point,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
remark cr,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
locat agre,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
relat nsapi,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
repetit event,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
basic requir,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
registrationresult amfregistr,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
registr simpl,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
registr shorter,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
content nheader,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
logic solut,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
long don,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
registr accept,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
bcc field,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
regist vplmn,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
long hold,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
content make,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
regist deregist,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
long-held moot,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
bdc bfb,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
