term,n_T,n_ST,p_T,p_ST,ll,category
der arend,200.0,1900.0,40.0,0.2963656215878958,-41.699164553204525,T
van der,200.0,2100.0,40.0,0.32756200280767434,-41.97120661732608,T
ipv address,100.0,1000.0,20.0,0.15598190609889254,-45.52813834091168,T
address ni,100.0,1000.0,20.0,0.15598190609889254,-45.52813834091168,T
viel gr,100.0,1100.0,20.0,0.17158009670878177,-45.6944116025455,T
defin etsi,100.0,1100.0,20.0,0.17158009670878177,-45.6944116025455,T
nbest viel,100.0,1100.0,20.0,0.17158009670878177,-45.6944116025455,T
fe nbernhard,100.0,1100.0,20.0,0.17158009670878177,-45.6944116025455,T
intern intercept,100.0,1100.0,20.0,0.17158009670878177,-45.6944116025455,T
stage definit,100.0,1100.0,20.0,0.17158009670878177,-45.6944116025455,T
implement nregard,100.0,1200.0,20.0,0.18717828731867103,-45.8477813373911,T
generat call,100.0,1200.0,20.0,0.18717828731867103,-45.8477813373911,T
relat document,100.0,1200.0,20.0,0.18717828731867103,-45.8477813373911,T
case ts,100.0,1200.0,20.0,0.18717828731867103,-45.8477813373911,T
paramet format,100.0,1200.0,20.0,0.18717828731867103,-45.8477813373911,T
ts generat,100.0,1200.0,20.0,0.18717828731867103,-45.8477813373911,T
locat messag,100.0,1299.9999999999998,20.0,0.20277647792856027,-45.99010111403956,T
messag omit,100.0,1299.9999999999998,20.0,0.20277647792856027,-45.99010111403956,T
progress omit,100.0,1299.9999999999998,20.0,0.20277647792856027,-45.99010111403956,T
iri target,100.0,1299.9999999999998,20.0,0.20277647792856027,-45.99010111403956,T
condit relat,100.0,1299.9999999999998,20.0,0.20277647792856027,-45.99010111403956,T
cin satisfi,100.0,1299.9999999999998,20.0,0.20277647792856027,-45.99010111403956,T
type octet,100.0,1400.0,20.0,0.21837466853844956,-46.12285131766134,T
li otd,100.0,1400.0,20.0,0.21837466853844956,-46.12285131766134,T
provid stage,100.0,1400.0,20.0,0.21837466853844956,-46.12285131766134,T
tispan document,100.0,1500.0,20.0,0.2339728591483388,-46.24723314952933,T
ts ip,100.0,1600.0,20.0,0.24957104975822805,-46.36423475198728,T
nthe cr,200.0,10600.0,40.0,1.6534082046482608,-46.55937995324473,T
refer spec,100.0,1800.0,20.0,0.28076743097800655,-46.579257669926704,T
addit interfac,100.0,1800.0,20.0,0.28076743097800655,-46.579257669926704,T
technic specif,100.0,2100.0,20.0,0.32756200280767434,-46.86327732043648,T
nthis inform,100.0,2100.0,20.0,0.32756200280767434,-46.86327732043648,T
write asn,100.0,2200.0,20.0,0.34316019341756354,-46.94950653078205,T
point discuss,100.0,2300.0,20.0,0.3587583840274528,-47.032105850702706,T
protocol support,100.0,2300.0,20.0,0.3587583840274528,-47.032105850702706,T
interfac defin,100.0,2400.0,20.0,0.37435657463734207,-47.11136614693988,T
import standard,100.0,2400.0,20.0,0.37435657463734207,-47.11136614693988,T
requir case,100.0,2500.0,20.0,0.3899547652472313,-47.18754465419254,T
session cc,100.0,2700.0,20.0,0.42115114646700985,-47.331546155052834,T
scott cadzow,100.0,3100.0,20.0,0.48354390890656684,-47.59115693747313,T
li relat,100.0,3100.0,20.0,0.48354390890656684,-47.59115693747313,T
nthe present,100.0,3400.0,20.0,0.5303384807362346,-47.76542992845722,T
omit cin,100.0,3499.9999999999995,20.0,0.5459366713461238,-47.82021601908943,T
chang tabl,100.0,3499.9999999999995,20.0,0.5459366713461238,-47.82021601908943,T
call progress,100.0,3499.9999999999995,20.0,0.5459366713461238,-47.82021601908943,T
tabl row,100.0,3900.0000000000005,20.0,0.6083294337856809,-48.025094417567544,T
ietf rfc,100.0,4300.0,20.0,0.6707221962252379,-48.21035678074598,T
relat target,100.0,4300.0,20.0,0.6707221962252379,-48.21035678074598,T
xc fe,100.0,4300.0,20.0,0.6707221962252379,-48.21035678074598,T
xbc xc,100.0,4400.0,20.0,0.6863203868351271,-48.25402367551716,T
xc xbc,100.0,4500.0,20.0,0.7019185774450164,-48.29672379643887,T
gr xc,100.0,4600.0,20.0,0.7175167680549056,-48.33849829658493,T
dear deleg,100.0,4600.0,20.0,0.7175167680549056,-48.33849829658493,T
address port,100.0,4900.0,20.0,0.7643113398845734,-48.45864223934362,T
refer text,100.0,5199.999999999999,20.0,0.8111059117142411,-48.57171236776949,T
cr sa,100.0,5199.999999999999,20.0,0.8111059117142411,-48.57171236776949,T
ts state,100.0,5400.0,20.0,0.8423022929340197,-48.64354920366429,T
part li,100.0,5700.0,20.0,0.8890968647636874,-48.74648573506775,T
target locat,100.0,5800.000000000001,20.0,0.9046950553735768,-48.77960069029274,T
cr chang,100.0,6500.000000000001,20.0,1.0138823896428015,-48.99655640288725,T
handov interfac,100.0,7100.0,20.0,1.107471533302137,-49.1646072137099,T
defin gpp,100.0,7400.000000000001,20.0,1.1542661051318048,-49.243337736250254,T
messag generat,100.0,7899.999999999999,20.0,1.2322570581812509,-49.367647298168606,T
gpp ts,200.0,28600.000000000004,40.0,4.461082514428327,-49.38613112924463,T
nregard nmirko,100.0,8900.0,20.0,1.3882389642801436,-49.59394178950089,T
communic session,100.0,11000.0,20.0,1.7158009670878178,-49.99467327413561,T
work item,100.0,11100.0,20.0,1.731399157697707,-50.011737681377554,T
asn paramet,100.0,11900.0,20.0,1.8561846825768211,-50.142783064238984,T
target communic,100.0,12100.000000000002,20.0,1.8873810637965998,-50.17411736113945,T
ip address,100.0,14700.0,20.0,2.2929340196537202,-50.53836987317334,T
packet data,100.0,17600.0,20.0,2.7452815473405083,-50.871953809873276,T
present document,100.0,19800.0,20.0,3.088441740758072,-51.087977691752144,T
tc li,100.0,20600.0,20.0,3.2132272656371863,-51.16017322218204,T
iri messag,100.0,25900.0,20.0,4.039931367961317,-51.572248269096235,T
octet string,100.0,26099.999999999996,20.0,4.071127749181095,-51.58591980722713,T
nregard nmaurizio,100.0,33500.0,20.0,5.2253938543129,-52.02211756341103,T
etsi ts,100.0,39099.99999999999,20.0,6.098892528466697,-52.28372124869475,T
